group,name,version,license,optional,installScript,review,lockPath
development,@eslint-community/regexpp,4.12.2,MIT,false,false,permissive-or-public-domain,node_modules/@eslint-community/regexpp
development,@eslint/config-array,0.23.2,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint/config-array
development,@eslint/config-helpers,0.5.2,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint/config-helpers
development,@eslint/core,1.1.0,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint/core
development,@eslint/js,9.39.3,MIT,false,false,permissive-or-public-domain,node_modules/@eslint/js
development,@eslint/object-schema,3.0.2,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint/object-schema
development,@eslint/plugin-kit,0.6.0,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint/plugin-kit
development,@exodus/bytes,1.15.0,MIT,false,false,permissive-or-public-domain,node_modules/@exodus/bytes
development,@humanfs/core,0.19.1,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@humanfs/core
development,@humanfs/node,0.16.7,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@humanfs/node
development,@humanwhocodes/module-importer,1.0.1,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@humanwhocodes/module-importer
development,@humanwhocodes/retry,0.4.3,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@humanwhocodes/retry
development,@isaacs/cliui,8.0.2,ISC,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui
development,@isaacs/cliui/node_modules/ansi-regex,6.2.2,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/ansi-regex
development,@isaacs/cliui/node_modules/ansi-styles,6.2.3,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/ansi-styles
development,@isaacs/cliui/node_modules/emoji-regex,9.2.2,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/emoji-regex
development,@isaacs/cliui/node_modules/string-width,5.1.2,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/string-width
development,@isaacs/cliui/node_modules/strip-ansi,7.2.0,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/strip-ansi
development,@isaacs/cliui/node_modules/wrap-ansi,8.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@isaacs/cliui/node_modules/wrap-ansi
development,@isaacs/fs-minipass,4.0.1,ISC,false,false,permissive-or-public-domain,node_modules/@isaacs/fs-minipass
development,@jridgewell/gen-mapping,0.3.13,MIT,false,false,permissive-or-public-domain,node_modules/@jridgewell/gen-mapping
development,@jridgewell/remapping,2.3.5,MIT,false,false,permissive-or-public-domain,node_modules/@jridgewell/remapping
development,@jridgewell/resolve-uri,3.1.2,MIT,false,false,permissive-or-public-domain,node_modules/@jridgewell/resolve-uri
